timestamp free_pages compressor_pages swap_used_MB free_pct
2026-03-17 17:44:23 3724 187465 6399.69 29
2026-03-17 17:44:33 4663 188097 6399.69 29
2026-03-17 17:44:43 3705 179893 6391.69 31
2026-03-17 17:44:53 3892 185364 6391.69 30
2026-03-17 17:45:03 3674 185976 6391.69 30
2026-03-17 17:45:13 4263 192010 6383.69 28
2026-03-17 17:45:23 3564 191969 6375.69 28
2026-03-17 17:45:33 4284 193381 6375.69 28
2026-03-17 17:45:43 3964 185786 6375.69 30
2026-03-17 17:45:53 4155 190835 6367.69 29
2026-03-17 17:46:03 3672 190045 6367.69 29
2026-03-17 17:46:13 3976 189924 6367.69 29
2026-03-17 17:46:23 4456 192822 6367.69 28
2026-03-17 17:46:33 3909 186762 6367.69 30
2026-03-17 17:46:43 3862 190080 6372.00 28
2026-03-17 17:46:53 5888 188863 6372.00 28
2026-03-17 17:47:03 3934 185185 6364.00 29
2026-03-17 17:47:13 3692 186910 6356.00 29
2026-03-17 17:47:23 3766 181680 6356.00 30
2026-03-17 17:47:33 3754 184096 6356.00 30
2026-03-17 17:47:43 3934 180911 6356.00 30
2026-03-17 17:47:53 4139 190821 6356.00 28
2026-03-17 17:48:03 3881 182828 6364.25 30
2026-03-17 17:48:13 3901 183259 6364.25 30
2026-03-17 17:48:23 3985 183296 6364.25 30
2026-03-17 17:48:34 3570 188276 6356.25 29
2026-03-17 17:48:44 3821 182053 6340.25 30
2026-03-17 17:48:54 3622 187494 6402.75 29
2026-03-17 17:49:04 3796 181966 6402.75 30
2026-03-17 17:49:14 4312 179538 6402.75 31
2026-03-17 17:49:24 3789 184483 6402.75 29
2026-03-17 17:49:34 3789 192933 6394.75 28
2026-03-17 17:49:44 3525 180558 6386.75 30
2026-03-17 17:49:54 3908 183960 6386.75 29
2026-03-17 17:50:04 3983 192178 6386.75 28
2026-03-17 17:50:14 3768 189207 6393.00 28
2026-03-17 17:50:24 3606 186178 6393.00 28
2026-03-17 17:50:34 4183 194898 6353.00 27
2026-03-17 17:50:44 3802 189794 6353.00 28
2026-03-17 17:50:54 4038 190107 6380.69 28
2026-03-17 17:51:04 3892 195221 6382.25 27
2026-03-17 17:51:14 3612 197211 6328.94 27
2026-03-17 17:51:24 3759 193069 6331.12 28
2026-03-17 17:51:34 3904 194687 6331.12 28
2026-03-17 17:51:44 4018 189175 6331.12 28
2026-03-17 17:51:54 4349 182697 6342.38 30
2026-03-17 17:52:04 4047 189828 6334.38 28
2026-03-17 17:52:14 3788 192929 6302.38 27
2026-03-17 17:52:24 3574 190022 6302.38 29
2026-03-17 17:52:34 4059 192164 6294.38 28
2026-03-17 17:52:44 3955 182436 6337.12 29
2026-03-17 17:52:55 3747 182374 6321.12 30
2026-03-17 17:53:05 4260 163258 6547.00 34
2026-03-17 17:53:15 3891 176960 6499.00 31
2026-03-17 17:53:25 3623 177004 6491.00 31
2026-03-17 17:53:35 4958 180618 6491.00 30
2026-03-17 17:53:45 3999 168834 6435.00 33
2026-03-17 17:53:55 3659 177628 6435.00 31
2026-03-17 17:54:05 3763 184275 6427.00 30
2026-03-17 17:54:15 3537 185826 6411.00 29
2026-03-17 17:54:25 4575 179065 6411.00 31
2026-03-17 17:54:35 3879 184911 6411.00 29
2026-03-17 17:54:45 3605 177744 6403.00 31
2026-03-17 17:54:55 3655 189613 6403.00 27
2026-03-17 17:55:05 3801 191191 6379.00 28
2026-03-17 17:55:15 3965 189696 6371.00 28
2026-03-17 17:55:25 3754 193762 6371.00 27
2026-03-17 17:55:35 3669 185061 6391.81 29
2026-03-17 17:55:45 4067 187091 6383.81 28
2026-03-17 17:55:55 3673 192444 6385.81 26
2026-03-17 17:56:05 4016 180840 6404.00 29
2026-03-17 17:56:15 3929 182678 6404.00 29
2026-03-17 17:56:25 4124 178406 6396.00 30
2026-03-17 17:56:35 4012 181140 6396.00 30
2026-03-17 17:56:45 4928 184318 6396.00 29
2026-03-17 17:56:55 3699 186515 6388.00 27
2026-03-17 17:57:05 3893 175509 6388.00 31
2026-03-17 17:57:16 3628 185878 6388.00 29
2026-03-17 17:57:26 3536 180845 6364.00 29
2026-03-17 17:57:36 3841 177870 6364.00 30
2026-03-17 17:57:46 4181 179112 6356.00 30
2026-03-17 17:57:56 4281 177186 6356.00 30
2026-03-17 17:58:06 4603 178151 6348.00 30
2026-03-17 17:58:16 3655 185203 6529.88 29
2026-03-17 17:58:26 3897 170799 6521.88 32
2026-03-17 17:58:36 3682 166384 6489.88 33
2026-03-17 17:58:46 4172 174416 6481.88 31
2026-03-17 17:58:56 4067 173966 6457.88 31
2026-03-17 17:59:06 3626 182502 6425.88 29
2026-03-17 17:59:16 3389 188700 6409.88 27
2026-03-17 17:59:26 3632 184503 6409.88 29
2026-03-17 17:59:36 3546 186377 6417.69 27
2026-03-17 17:59:46 3670 177946 6446.88 30
2026-03-17 17:59:56 3883 188318 6446.88 28
2026-03-17 18:00:06 4069 180044 6486.25 30
2026-03-17 18:00:16 4101 189933 6527.06 26
2026-03-17 18:00:26 3850 183170 6519.06 29
2026-03-17 18:00:36 3828 187527 6519.06 28
2026-03-17 18:00:46 3507 186069 6519.06 28
2026-03-17 18:00:56 3888 187873 6508.75 28
2026-03-17 18:01:06 3827 184379 6508.75 29
2026-03-17 18:01:16 4033 189027 6653.06 27
2026-03-17 18:01:26 4498 173690 6629.06 31
2026-03-17 18:01:36 3707 166180 6605.06 33
2026-03-17 18:01:47 3593 185327 6589.06 28
2026-03-17 18:01:57 3998 194806 6627.19 27
2026-03-17 18:02:07 3809 193468 6627.06 27
2026-03-17 18:02:17 3566 187226 6690.69 28
2026-03-17 18:02:27 3750 193480 6831.12 26
2026-03-17 18:02:37 3722 190104 7091.19 26
2026-03-17 18:02:47 4629 192180 7045.00 28
2026-03-17 18:02:57 4136 195830 7027.12 26
2026-03-17 18:03:07 4169 190238 7147.50 28
2026-03-17 18:03:17 4171 186522 7059.50 28
2026-03-17 18:03:27 3675 187374 7025.81 27
2026-03-17 18:03:37 4050 190109 7006.56 28
2026-03-17 18:03:47 4557 180792 6958.56 30
2026-03-17 18:03:57 4293 192738 6826.81 27
2026-03-17 18:04:07 4233 187598 6960.25 29
2026-03-17 18:04:17 3740 194085 6944.25 27
2026-03-17 18:04:27 4050 195065 6930.31 27
2026-03-17 18:04:37 3991 188224 6970.38 28
2026-03-17 18:04:47 4446 187019 6906.38 29
2026-03-17 18:04:57 3990 192789 6864.56 28
2026-03-17 18:05:07 3909 192191 6969.62 27
2026-03-17 18:05:17 3749 186815 6937.62 28
2026-03-17 18:05:27 3769 195479 7029.69 27
2026-03-17 18:05:38 3635 194192 7522.88 27
2026-03-17 18:05:48 3564 192825 7570.25 27
2026-03-17 18:05:58 3994 196114 7819.94 26
2026-03-17 18:06:08 3553 192603 7857.25 26
2026-03-17 18:06:18 4948 191431 8240.62 26
2026-03-17 18:06:28 3575 169014 8203.81 32
2026-03-17 18:06:38 4105 193099 8232.56 27
2026-03-17 18:06:49 3905 177216 8339.56 31
2026-03-17 18:06:59 3958 188499 8219.56 28
2026-03-17 18:07:09 4225 190841 8221.12 28
2026-03-17 18:07:19 3595 177688 8197.12 30
2026-03-17 18:07:29 3694 185688 7989.12 29
2026-03-17 18:07:39 4302 195285 7923.69 27
2026-03-17 18:07:49 3907 195055 7964.81 27
2026-03-17 18:07:59 3815 197120 7947.56 27
2026-03-17 18:08:09 3822 192262 7994.75 28
2026-03-17 18:08:19 3797 192579 7962.75 28
2026-03-17 18:08:29 3501 196210 7983.19 27
2026-03-17 18:08:39 4439 189234 7955.06 28
2026-03-17 18:08:49 3750 191726 8135.81 26
2026-03-17 18:09:00 3618 183462 8105.25 29
2026-03-17 18:09:10 3742 194917 8034.00 26
2026-03-17 18:09:20 3844 189661 8180.69 26
2026-03-17 18:09:30 4395 189633 8113.19 28
